period,start_bal,interest,bal_after_int,pmt,bal_after_pmt,principal_repaid
1,100000.00,416.67,100416.67,1887.12,98529.54,1470.46
2,98529.54,410.54,98940.08,1887.12,97052.96,1476.58
3,97052.96,404.39,97457.35,1887.12,95570.22,1482.74
4,95570.22,398.21,95968.43,1887.12,94081.31,1488.91
5,94081.31,392.01,94473.32,1887.12,92586.19,1495.12
6,92586.19,385.78,92971.97,1887.12,91084.84,1501.35
7,91084.84,379.52,91464.36,1887.12,89577.24,1507.60
8,89577.24,373.24,89950.48,1887.12,88063.36,1513.88
9,88063.36,366.93,88430.29,1887.12,86543.16,1520.19
10,86543.16,360.60,86903.76,1887.12,85016.64,1526.53
11,85016.64,354.24,85370.87,1887.12,83483.75,1532.89
12,83483.75,347.85,83831.60,1887.12,81944.47,1539.27
13,81944.47,341.44,82285.91,1887.12,80398.79,1545.69
14,80398.79,334.99,80733.78,1887.12,78846.66,1552.13
15,78846.66,328.53,79175.19,1887.12,77288.06,1558.60
16,77288.06,322.03,77610.10,1887.12,75722.97,1565.09
17,75722.97,315.51,76038.49,1887.12,74151.36,1571.61
18,74151.36,308.96,74460.33,1887.12,72573.20,1578.16
19,72573.20,302.39,72875.59,1887.12,70988.47,1584.74
20,70988.47,295.79,71284.25,1887.12,69397.13,1591.34
21,69397.13,289.15,69686.28,1887.12,67799.16,1597.97
22,67799.16,282.50,68081.66,1887.12,66194.53,1604.63
23,66194.53,275.81,66470.34,1887.12,64583.22,1611.31
24,64583.22,269.10,64852.32,1887.12,62965.19,1618.03
25,62965.19,262.35,63227.55,1887.12,61340.43,1624.77
26,61340.43,255.59,61596.01,1887.12,59708.89,1631.54
27,59708.89,248.79,59957.67,1887.12,58070.55,1638.34
28,58070.55,241.96,58312.51,1887.12,56425.39,1645.16
29,56425.39,235.11,56660.49,1887.12,54773.37,1652.02
30,54773.37,228.22,55001.59,1887.12,53114.47,1658.90
31,53114.47,221.31,53335.78,1887.12,51448.66,1665.81
32,51448.66,214.37,51663.03,1887.12,49775.90,1672.75
33,49775.90,207.40,49983.30,1887.12,48096.18,1679.72
34,48096.18,200.40,48296.58,1887.12,46409.46,1686.72
35,46409.46,193.37,46602.83,1887.12,44715.71,1693.75
36,44715.71,186.32,44902.02,1887.12,43014.90,1700.81
37,43014.90,179.23,43194.13,1887.12,41307.00,1707.89
38,41307.00,172.11,41479.12,1887.12,39591.99,1715.01
39,39591.99,164.97,39756.96,1887.12,37869.84,1722.16
40,37869.84,157.79,38027.63,1887.12,36140.50,1729.33
41,36140.50,150.59,36291.09,1887.12,34403.97,1736.54
42,34403.97,143.35,34547.32,1887.12,32660.19,1743.77
43,32660.19,136.08,32796.28,1887.12,30909.15,1751.04
44,30909.15,128.79,31037.94,1887.12,29150.82,1758.34
45,29150.82,121.46,29272.28,1887.12,27385.16,1765.66
46,27385.16,114.10,27499.26,1887.12,25612.14,1773.02
47,25612.14,106.72,25718.85,1887.12,23831.73,1780.41
48,23831.73,99.30,23931.03,1887.12,22043.91,1787.82
49,22043.91,91.85,22135.76,1887.12,20248.63,1795.27
50,20248.63,84.37,20333.00,1887.12,18445.88,1802.75
51,18445.88,76.86,18522.74,1887.12,16635.61,1810.27
52,16635.61,69.32,16704.93,1887.12,14817.81,1817.81
53,14817.81,61.74,14879.55,1887.12,12992.42,1825.38
54,12992.42,54.14,13046.56,1887.12,11159.43,1832.99
55,11159.43,46.50,11205.93,1887.12,9318.81,1840.63
56,9318.81,38.83,9357.64,1887.12,7470.51,1848.29
57,7470.51,31.13,7501.64,1887.12,5614.52,1856.00
58,5614.52,23.39,5637.91,1887.12,3750.79,1863.73
59,3750.79,15.63,3766.42,1887.12,1879.29,1871.50
60,1879.29,7.83,1887.12,1887.12,0.00,1879.29
