period,start_bal,interest,bal_after_int,pmt,bal_after_pmt,principal_repaid
1,100000.00,416.67,100416.67,1687.12,98729.55,1270.45
2,98729.55,411.37,99140.92,1687.12,97453.80,1275.75
3,97453.80,406.06,97859.86,1687.12,96172.74,1281.06
4,96172.74,400.72,96573.46,1687.12,94886.34,1286.40
5,94886.34,395.36,95281.70,1687.12,93594.58,1291.76
6,93594.58,389.98,93984.55,1687.12,92297.43,1297.14
7,92297.43,384.57,92682.01,1687.12,90994.89,1302.55
8,90994.89,379.15,91374.03,1687.12,89686.91,1307.97
9,89686.91,373.70,90060.61,1687.12,88373.49,1313.42
10,88373.49,368.22,88741.71,1687.12,87054.59,1318.90
11,87054.59,362.73,87417.32,1687.12,85730.20,1324.39
12,85730.20,357.21,86087.41,1687.12,84400.29,1329.91
13,84400.29,351.67,84751.95,1687.12,83064.83,1335.45
14,83064.83,346.10,83410.94,1687.12,81723.82,1341.02
15,81723.82,340.52,82064.33,1687.12,80377.21,1346.60
16,80377.21,334.91,80712.12,1687.12,79025.00,1352.21
17,79025.00,329.27,79354.27,1687.12,77667.15,1357.85
18,77667.15,323.61,77990.76,1687.12,76303.64,1363.51
19,76303.64,317.93,76621.58,1687.12,74934.46,1369.19
20,74934.46,312.23,75246.68,1687.12,73559.56,1374.89
21,73559.56,306.50,73866.06,1687.12,72178.94,1380.62
22,72178.94,300.75,72479.69,1687.12,70792.57,1386.37
23,70792.57,294.97,71087.53,1687.12,69400.41,1392.15
24,69400.41,289.17,69689.58,1687.12,68002.46,1397.95
25,68002.46,283.34,68285.81,1687.12,66598.69,1403.78
26,66598.69,277.49,66876.18,1687.12,65189.06,1409.63
27,65189.06,271.62,65460.68,1687.12,63773.56,1415.50
28,63773.56,265.72,64039.29,1687.12,62352.17,1421.40
29,62352.17,259.80,62611.97,1687.12,60924.85,1427.32
30,60924.85,253.85,61178.70,1687.12,59491.58,1433.27
31,59491.58,247.88,59739.46,1687.12,58052.34,1439.24
32,58052.34,241.88,58294.23,1687.12,56607.11,1445.24
33,56607.11,235.86,56842.97,1687.12,55155.85,1451.26
34,55155.85,229.82,55385.67,1687.12,53698.55,1457.30
35,53698.55,223.74,53922.29,1687.12,52235.17,1463.38
36,52235.17,217.65,52452.82,1687.12,50765.70,1469.47
37,50765.70,211.52,50977.22,1687.12,49290.10,1475.60
38,49290.10,205.38,49495.47,1687.12,47808.35,1481.74
39,47808.35,199.20,48007.56,1687.12,46320.44,1487.92
40,46320.44,193.00,46513.44,1687.12,44826.32,1494.12
41,44826.32,186.78,45013.09,1687.12,43325.97,1500.34
42,43325.97,180.52,43506.50,1687.12,41819.38,1506.60
43,41819.38,174.25,41993.63,1687.12,40306.51,1512.87
44,40306.51,167.94,40474.45,1687.12,38787.33,1519.18
45,38787.33,161.61,38948.94,1687.12,37261.82,1525.51
46,37261.82,155.26,37417.08,1687.12,35729.96,1531.86
47,35729.96,148.87,35878.84,1687.12,34191.72,1538.25
48,34191.72,142.47,34334.18,1687.12,32647.06,1544.65
49,32647.06,136.03,32783.09,1687.12,31095.97,1551.09
50,31095.97,129.57,31225.54,1687.12,29538.42,1557.55
51,29538.42,123.08,29661.50,1687.12,27974.38,1564.04
52,27974.38,116.56,28090.93,1687.12,26403.81,1570.56
53,26403.81,110.02,26513.83,1687.12,24826.71,1577.10
54,24826.71,103.44,24930.16,1687.12,23243.04,1583.68
55,23243.04,96.85,23339.88,1687.12,21652.76,1590.27
56,21652.76,90.22,21742.98,1687.12,20055.86,1596.90
57,20055.86,83.57,20139.43,1687.12,18452.31,1603.55
58,18452.31,76.88,18529.19,1687.12,16842.07,1610.24
59,16842.07,70.18,16912.25,1687.12,15225.13,1616.94
60,15225.13,63.44,15288.57,15288.57,0.00,15225.13
